identifier,datestamp,datafield,doi
oai:repo.scoap3.org:23854,2019-08-01T09:58:47Z,DOI10.1007/JHEP02(2018)106,10.1007/jhep02(2018)106
oai:repo.scoap3.org:24371,2019-08-01T09:43:19Z,DOI10.1007/JHEP03(2018)088,10.1007/jhep03(2018)088
oai:repo.scoap3.org:18365,2019-08-01T09:51:32Z,DOI10.1007/JHEP12(2016)098,10.1007/jhep12(2016)098
oai:repo.scoap3.org:24396,2019-08-01T09:48:16Z,DOI10.1007/JHEP03(2018)078,10.1007/jhep03(2018)078
oai:repo.scoap3.org:23321,2019-08-01T09:36:37Z,DOI10.1007/JHEP01(2018)124,10.1007/jhep01(2018)124
oai:repo.scoap3.org:20126,2019-08-01T09:56:47Z,DOI10.1007/JHEP05(2017)059,10.1007/jhep05(2017)059
oai:repo.scoap3.org:17982,2019-08-01T09:44:36Z,DOI10.1007/JHEP11(2016)099,10.1007/jhep11(2016)099
oai:repo.scoap3.org:20124,2019-08-01T09:56:49Z,DOI10.1007/JHEP05(2017)104,10.1007/jhep05(2017)104
oai:repo.scoap3.org:24549,2019-08-01T09:41:31Z,DOI10.1007/JHEP03(2018)132,10.1007/jhep03(2018)132
oai:repo.scoap3.org:20123,2019-08-01T09:41:31Z,DOI10.1007/JHEP05(2017)103,10.1007/jhep05(2017)103
oai:repo.scoap3.org:19096,2019-08-01T09:46:25Z,DOI10.1007/JHEP02(2017)104,10.1007/jhep02(2017)104
oai:repo.scoap3.org:19092,2019-08-01T09:35:55Z,DOI10.1007/JHEP02(2017)096,10.1007/jhep02(2017)096
oai:repo.scoap3.org:16306,2019-08-01T09:43:20Z,DOI10.1007/JHEP07(2016)020,10.1007/jhep07(2016)020
oai:repo.scoap3.org:17874,2019-08-01T09:58:24Z,DOI10.1007/JHEP11(2016)080,10.1007/jhep11(2016)080
oai:repo.scoap3.org:19735,2019-08-01T09:46:10Z,DOI10.1007/JHEP04(2017)073,10.1007/jhep04(2017)073
oai:repo.scoap3.org:17301,2019-08-01T09:47:02Z,DOI10.1007/JHEP09(2016)145,10.1007/jhep09(2016)145
oai:repo.scoap3.org:19783,2019-08-01T09:38:18Z,DOI10.1007/JHEP04(2017)096,10.1007/jhep04(2017)096
oai:repo.scoap3.org:19784,2019-08-01T09:38:25Z,DOI10.1007/JHEP04(2017)097,10.1007/jhep04(2017)097
oai:repo.scoap3.org:19307,2019-08-01T09:48:03Z,DOI10.1007/JHEP03(2017)057,10.1007/jhep03(2017)057
oai:repo.scoap3.org:22325,2019-08-01T09:35:57Z,DOI10.1007/JHEP11(2017)029,10.1007/jhep11(2017)029
oai:repo.scoap3.org:22329,2019-08-01T09:41:40Z,DOI10.1007/JHEP11(2017)091,10.1007/jhep11(2017)091
oai:repo.scoap3.org:18644,2019-08-01T09:48:03Z,DOI10.1007/JHEP01(2017)070,10.1007/jhep01(2017)070
oai:repo.scoap3.org:13805,2019-08-01T09:53:32Z,DOI10.1007/JHEP02(2016)052,10.1007/jhep02(2016)052
oai:repo.scoap3.org:13804,2019-08-01T09:48:43Z,DOI10.1007/JHEP02(2016)050,10.1007/jhep02(2016)050
oai:repo.scoap3.org:17871,2019-08-01T09:55:23Z,DOI10.1007/JHEP11(2016)075,10.1007/jhep11(2016)075
oai:repo.scoap3.org:21757,2019-08-01T09:47:54Z,DOI10.1007/JHEP10(2017)003,10.1007/jhep10(2017)003
oai:repo.scoap3.org:21362,2019-08-01T09:39:57Z,DOI10.1007/JHEP09(2017)005,10.1007/jhep09(2017)005
oai:repo.scoap3.org:17270,2019-08-01T09:49:00Z,DOI10.1007/JHEP09(2016)129,10.1007/jhep09(2016)129
oai:repo.scoap3.org:21213,2019-08-01T09:39:57Z,DOI10.1007/JHEP08(2017)084,10.1007/jhep08(2017)084
oai:repo.scoap3.org:19549,2019-08-01T09:44:55Z,DOI10.1007/JHEP03(2017)160,10.1007/jhep03(2017)160
oai:repo.scoap3.org:16273,2019-08-01T09:45:07Z,DOI10.1007/JHEP07(2016)005,10.1007/jhep07(2016)005
oai:repo.scoap3.org:16271,2019-08-01T09:46:30Z,DOI10.1007/JHEP07(2016)003,10.1007/jhep07(2016)003
oai:repo.scoap3.org:21218,2019-08-01T09:45:10Z,DOI10.1007/JHEP08(2017)082,10.1007/jhep08(2017)082
oai:repo.scoap3.org:23069,2019-08-01T09:37:33Z,DOI10.1007/JHEP01(2018)047,10.1007/jhep01(2018)047
oai:repo.scoap3.org:14658,2019-08-01T09:49:24Z,DOI10.1007/JHEP03(2016)029,10.1007/jhep03(2016)029
oai:repo.scoap3.org:20162,2019-08-01T09:39:57Z,DOI10.1007/JHEP05(2017)093,10.1007/jhep05(2017)093
oai:repo.scoap3.org:20167,2019-08-01T09:48:41Z,DOI10.1007/JHEP05(2017)110,10.1007/jhep05(2017)110
oai:repo.scoap3.org:13579,2019-08-01T09:48:41Z,DOI10.1007/JHEP01(2016)117,10.1007/jhep01(2016)117
oai:repo.scoap3.org:17051,2019-08-01T09:45:24Z,DOI10.1007/JHEP09(2016)023,10.1007/jhep09(2016)023
oai:repo.scoap3.org:24225,2019-08-01T09:36:50Z,DOI10.1007/JHEP03(2018)036,10.1007/jhep03(2018)036
oai:repo.scoap3.org:24224,2019-08-01T09:48:49Z,DOI10.1007/JHEP03(2018)035,10.1007/jhep03(2018)035
oai:repo.scoap3.org:13376,2019-08-01T09:40:47Z,DOI10.1007/JHEP01(2016)041,10.1007/jhep01(2016)041
oai:repo.scoap3.org:20597,2019-08-01T09:45:07Z,DOI10.1007/JHEP06(2017)109,10.1007/jhep06(2017)109
oai:repo.scoap3.org:18656,2019-08-01T09:50:46Z,DOI10.1007/JHEP01(2017)083,10.1007/jhep01(2017)083
oai:repo.scoap3.org:15929,2019-08-01T09:52:30Z,DOI10.1007/JHEP06(2016)048,10.1007/jhep06(2016)048
oai:repo.scoap3.org:20763,2019-08-01T09:50:36Z,DOI10.1007/JHEP07(2017)045,10.1007/jhep07(2017)045
oai:repo.scoap3.org:20769,2019-08-01T09:54:18Z,DOI10.1007/JHEP07(2017)043,10.1007/jhep07(2017)043
oai:repo.scoap3.org:24307,2019-08-01T09:48:27Z,DOI10.1007/JHEP03(2018)071,10.1007/jhep03(2018)071
oai:repo.scoap3.org:20279,2019-08-01T09:38:42Z,DOI10.1007/JHEP05(2017)149,10.1007/jhep05(2017)149
oai:repo.scoap3.org:22721,2019-08-01T09:48:36Z,DOI10.1007/JHEP12(2017)061,10.1007/jhep12(2017)061
oai:repo.scoap3.org:20788,2019-08-01T09:48:57Z,DOI10.1007/JHEP07(2017)051,10.1007/jhep07(2017)051
oai:repo.scoap3.org:18215,2019-08-01T09:57:01Z,DOI10.1007/JHEP12(2016)026,10.1007/jhep12(2016)026
oai:repo.scoap3.org:14508,2019-08-01T09:38:39Z,DOI10.1007/JHEP02(2016)152,10.1007/jhep02(2016)152
oai:repo.scoap3.org:14507,2019-08-01T09:38:39Z,DOI10.1007/JHEP02(2016)157,10.1007/jhep02(2016)157
oai:repo.scoap3.org:18654,2019-08-01T09:44:14Z,DOI10.1007/JHEP01(2017)082,10.1007/jhep01(2017)082
oai:repo.scoap3.org:19898,2019-08-01T09:38:39Z,DOI10.1007/JHEP04(2017)159,10.1007/jhep04(2017)159
oai:repo.scoap3.org:19899,2019-08-01T09:52:07Z,DOI10.1007/JHEP04(2017)160,10.1007/jhep04(2017)160
oai:repo.scoap3.org:19896,2019-08-01T09:47:31Z,DOI10.1007/JHEP04(2017)156,10.1007/jhep04(2017)156
oai:repo.scoap3.org:19894,2019-08-01T09:48:36Z,DOI10.1007/JHEP04(2017)138,10.1007/jhep04(2017)138
oai:repo.scoap3.org:20543,2019-08-01T09:55:19Z,DOI10.1007/JHEP06(2017)090,10.1007/jhep06(2017)090
oai:repo.scoap3.org:24397,2019-08-01T09:58:58Z,DOI10.1007/JHEP03(2018)090,10.1007/jhep03(2018)090
oai:repo.scoap3.org:19540,2019-08-01T09:55:19Z,DOI10.1007/JHEP03(2017)158,10.1007/jhep03(2017)158
oai:repo.scoap3.org:20755,2019-08-01T09:53:43Z,DOI10.1007/JHEP07(2017)031,10.1007/jhep07(2017)031
oai:repo.scoap3.org:20973,2019-08-01T09:52:33Z,DOI10.1007/JHEP08(2017)014,10.1007/jhep08(2017)014
oai:repo.scoap3.org:15218,2019-08-01T09:39:53Z,DOI10.1007/JHEP04(2016)084,10.1007/jhep04(2016)084
oai:repo.scoap3.org:15219,2019-08-01T09:40:47Z,DOI10.1007/JHEP04(2016)085,10.1007/jhep04(2016)085
oai:repo.scoap3.org:21468,2019-08-01T09:54:10Z,DOI10.1007/JHEP09(2017)043,10.1007/jhep09(2017)043
oai:repo.scoap3.org:18886,2019-08-01T09:37:33Z,DOI10.1007/JHEP02(2017)018,10.1007/jhep02(2017)018
oai:repo.scoap3.org:21269,2019-08-01T09:55:19Z,DOI10.1007/JHEP08(2017)104,10.1007/jhep08(2017)104
oai:repo.scoap3.org:15694,2019-08-01T09:47:31Z,DOI10.1007/JHEP05(2016)108,10.1007/jhep05(2016)108
oai:repo.scoap3.org:14348,2019-08-01T09:37:52Z,DOI10.1007/JHEP02(2016)062,10.1007/jhep02(2016)062
oai:repo.scoap3.org:25129,2019-08-01T09:49:17Z,DOI10.1007/JHEP04(2018)128,10.1007/jhep04(2018)128
oai:repo.scoap3.org:22589,2019-08-01T09:40:43Z,DOI10.1007/JHEP12(2017)003,10.1007/jhep12(2017)003
oai:repo.scoap3.org:21892,2019-08-01T09:50:25Z,DOI10.1007/JHEP10(2017)085,10.1007/jhep10(2017)085
oai:repo.scoap3.org:18206,2019-08-01T09:49:59Z,DOI10.1007/JHEP12(2016)009,10.1007/jhep12(2016)009
oai:repo.scoap3.org:15107,2019-08-01T09:55:23Z,DOI10.1007/JHEP04(2016)034,10.1007/jhep04(2016)034
oai:repo.scoap3.org:18208,2019-08-01T09:53:12Z,DOI10.1007/JHEP12(2016)019,10.1007/jhep12(2016)019
oai:repo.scoap3.org:19352,2019-08-01T09:50:16Z,DOI10.1007/JHEP03(2017)074,10.1007/jhep03(2017)074
oai:repo.scoap3.org:23338,2019-08-01T09:49:57Z,DOI10.1007/JHEP01(2018)134,10.1007/jhep01(2018)134
oai:repo.scoap3.org:18376,2019-08-01T09:49:57Z,DOI10.1007/JHEP12(2016)089,10.1007/jhep12(2016)089
oai:repo.scoap3.org:18377,2019-08-01T09:42:34Z,DOI10.1007/JHEP12(2016)096,10.1007/jhep12(2016)096
oai:repo.scoap3.org:21908,2019-08-01T09:42:34Z,DOI10.1007/JHEP10(2017)095,10.1007/jhep10(2017)095
oai:repo.scoap3.org:24957,2019-08-01T09:37:38Z,DOI10.1007/JHEP04(2018)082,10.1007/jhep04(2018)082
oai:repo.scoap3.org:20674,2019-08-01T09:42:34Z,DOI10.1007/JHEP06(2017)154,10.1007/jhep06(2017)154
oai:repo.scoap3.org:19154,2019-08-01T09:44:57Z,DOI10.1007/JHEP02(2017)129,10.1007/jhep02(2017)129
oai:repo.scoap3.org:16313,2019-08-01T09:45:50Z,DOI10.1007/JHEP07(2016)022,10.1007/jhep07(2016)022
oai:repo.scoap3.org:22003,2019-08-01T09:42:34Z,DOI10.1007/JHEP10(2017)140,10.1007/jhep10(2017)140
oai:repo.scoap3.org:22001,2019-08-01T09:49:26Z,DOI10.1007/JHEP10(2017)138,10.1007/jhep10(2017)138
oai:repo.scoap3.org:22000,2019-08-01T09:52:02Z,DOI10.1007/JHEP10(2017)137,10.1007/jhep10(2017)137
oai:repo.scoap3.org:18157,2019-08-01T09:51:56Z,DOI10.1007/JHEP12(2016)001,10.1007/jhep12(2016)001
oai:repo.scoap3.org:18792,2019-08-01T09:51:56Z,DOI10.1007/JHEP01(2017)126,10.1007/jhep01(2017)126
oai:repo.scoap3.org:16000,2019-08-01T09:37:58Z,DOI10.1007/JHEP06(2016)066,10.1007/jhep06(2016)066
oai:repo.scoap3.org:16001,2019-08-01T09:49:31Z,DOI10.1007/JHEP06(2016)069,10.1007/jhep06(2016)069
oai:repo.scoap3.org:16005,2019-08-01T09:59:06Z,DOI10.1007/JHEP06(2016)068,10.1007/jhep06(2016)068
oai:repo.scoap3.org:13815,2019-08-01T09:57:09Z,DOI10.1007/JHEP02(2016)047,10.1007/jhep02(2016)047
oai:repo.scoap3.org:17844,2019-08-01T09:37:57Z,DOI10.1007/JHEP11(2016)018,10.1007/jhep11(2016)018
oai:repo.scoap3.org:23324,2019-08-01T09:50:46Z,DOI10.1007/JHEP01(2018)130,10.1007/jhep01(2018)130
oai:repo.scoap3.org:22681,2019-08-01T09:38:01Z,DOI10.1007/JHEP12(2017)029,10.1007/jhep12(2017)029
oai:repo.scoap3.org:19442,2019-08-01T09:37:58Z,DOI10.1007/JHEP03(2017)111,10.1007/jhep03(2017)111
oai:repo.scoap3.org:22840,2019-08-01T09:42:05Z,DOI10.1007/JHEP12(2017)114,10.1007/jhep12(2017)114
oai:repo.scoap3.org:17200,2019-08-01T09:40:55Z,DOI10.1007/JHEP09(2016)101,10.1007/jhep09(2016)101
oai:repo.scoap3.org:18868,2019-08-01T09:47:34Z,DOI10.1007/JHEP02(2017)014,10.1007/jhep02(2017)014
oai:repo.scoap3.org:19209,2019-08-01T09:47:34Z,DOI10.1007/JHEP03(2017)001,10.1007/jhep03(2017)001
oai:repo.scoap3.org:22772,2019-08-01T09:40:43Z,DOI10.1007/JHEP12(2017)078,10.1007/jhep12(2017)078
oai:repo.scoap3.org:16263,2019-08-01T09:50:18Z,DOI10.1007/JHEP06(2016)178,10.1007/jhep06(2016)178
oai:repo.scoap3.org:18947,2019-08-01T09:46:21Z,DOI10.1007/JHEP02(2017)051,10.1007/jhep02(2017)051
oai:repo.scoap3.org:21003,2019-08-01T09:47:25Z,DOI10.1007/JHEP08(2017)027,10.1007/jhep08(2017)027
oai:repo.scoap3.org:17519,2019-08-01T09:47:37Z,DOI10.1007/JHEP10(2016)061,10.1007/jhep10(2016)061
oai:repo.scoap3.org:20153,2019-08-01T09:47:37Z,DOI10.1007/JHEP05(2017)070,10.1007/jhep05(2017)070
oai:repo.scoap3.org:20152,2019-08-01T09:47:37Z,DOI10.1007/JHEP05(2017)069,10.1007/jhep05(2017)069
oai:repo.scoap3.org:20151,2019-08-01T09:47:37Z,DOI10.1007/JHEP05(2017)068,10.1007/jhep05(2017)068
oai:repo.scoap3.org:13518,2019-08-01T09:53:02Z,DOI10.1007/JHEP01(2016)124,10.1007/jhep01(2016)124
oai:repo.scoap3.org:21556,2019-08-01T09:38:10Z,DOI10.1007/JHEP09(2017)073,10.1007/jhep09(2017)073
oai:repo.scoap3.org:15914,2019-08-01T09:56:23Z,DOI10.1007/JHEP06(2016)033,10.1007/jhep06(2016)033
oai:repo.scoap3.org:24207,2019-08-01T09:55:23Z,DOI10.1007/JHEP03(2018)029,10.1007/jhep03(2018)029
oai:repo.scoap3.org:21798,2019-08-01T09:55:26Z,DOI10.1007/JHEP10(2017)032,10.1007/jhep10(2017)032
oai:repo.scoap3.org:20933,2019-08-01T09:47:31Z,DOI10.1007/JHEP07(2017)145,10.1007/jhep07(2017)145
oai:repo.scoap3.org:20932,2019-08-01T09:50:36Z,DOI10.1007/JHEP07(2017)144,10.1007/jhep07(2017)144
oai:repo.scoap3.org:13670,2019-08-01T09:52:05Z,DOI10.1007/JHEP01(2016)174,10.1007/jhep01(2016)174
oai:repo.scoap3.org:16919,2019-08-01T09:58:29Z,DOI10.1007/JHEP08(2016)146,10.1007/jhep08(2016)146
oai:repo.scoap3.org:13671,2019-08-01T09:56:29Z,DOI10.1007/JHEP01(2016)175,10.1007/jhep01(2016)175
oai:repo.scoap3.org:16912,2019-08-01T09:53:53Z,DOI10.1007/JHEP08(2016)135,10.1007/jhep08(2016)135
oai:repo.scoap3.org:14512,2019-08-01T09:58:29Z,DOI10.1007/JHEP02(2016)171,10.1007/jhep02(2016)171
oai:repo.scoap3.org:14516,2019-08-01T09:53:53Z,DOI10.1007/JHEP02(2016)156,10.1007/jhep02(2016)156
oai:repo.scoap3.org:14517,2019-08-01T09:38:12Z,DOI10.1007/JHEP02(2016)163,10.1007/jhep02(2016)163
oai:repo.scoap3.org:14518,2019-08-01T09:56:58Z,DOI10.1007/JHEP02(2016)172,10.1007/jhep02(2016)172
oai:repo.scoap3.org:14519,2019-08-01T09:38:15Z,DOI10.1007/JHEP02(2016)176,10.1007/jhep02(2016)176
oai:repo.scoap3.org:20209,2019-08-01T09:44:02Z,DOI10.1007/JHEP05(2017)115,10.1007/jhep05(2017)115
oai:repo.scoap3.org:15351,2019-08-01T09:58:29Z,DOI10.1007/JHEP04(2016)134,10.1007/jhep04(2016)134
oai:repo.scoap3.org:20336,2019-08-01T09:59:01Z,DOI10.1007/JHEP06(2017)006,10.1007/jhep06(2017)006
oai:repo.scoap3.org:19573,2019-08-01T09:48:47Z,DOI10.1007/JHEP03(2017)162,10.1007/jhep03(2017)162
oai:repo.scoap3.org:20594,2019-08-01T09:51:12Z,DOI10.1007/JHEP06(2017)119,10.1007/jhep06(2017)119
oai:repo.scoap3.org:20593,2019-08-01T09:45:02Z,DOI10.1007/JHEP06(2017)118,10.1007/jhep06(2017)118
oai:repo.scoap3.org:24909,2019-08-01T09:36:12Z,DOI10.1007/JHEP04(2018)051,10.1007/jhep04(2018)051
oai:repo.scoap3.org:23233,2019-08-01T09:36:12Z,DOI10.1007/JHEP01(2018)099,10.1007/jhep01(2018)099
oai:repo.scoap3.org:17563,2019-08-01T09:45:22Z,DOI10.1007/JHEP10(2016)078,10.1007/jhep10(2016)078
oai:repo.scoap3.org:23557,2019-08-01T09:40:24Z,DOI10.1007/JHEP02(2018)027,10.1007/jhep02(2018)027
oai:repo.scoap3.org:15175,2019-08-01T09:43:10Z,DOI10.1007/JHEP04(2016)055,10.1007/jhep04(2016)055
oai:repo.scoap3.org:19551,2019-08-01T09:45:22Z,DOI10.1007/JHEP03(2017)164,10.1007/jhep03(2017)164
oai:repo.scoap3.org:23489,2019-08-01T09:52:49Z,DOI10.1007/JHEP02(2018)004,10.1007/jhep02(2018)004
oai:repo.scoap3.org:19004,2019-08-01T09:55:31Z,DOI10.1007/JHEP02(2017)072,10.1007/jhep02(2017)072
oai:repo.scoap3.org:22590,2019-08-01T09:47:42Z,DOI10.1007/JHEP12(2017)007,10.1007/jhep12(2017)007
oai:repo.scoap3.org:24578,2019-08-01T09:55:31Z,DOI10.1007/JHEP03(2018)103,10.1007/jhep03(2018)103
oai:repo.scoap3.org:20735,2019-08-01T09:38:38Z,DOI10.1007/JHEP07(2017)026,10.1007/jhep07(2017)026
oai:repo.scoap3.org:23168,2019-08-01T09:41:14Z,DOI10.1007/JHEP01(2018)082,10.1007/jhep01(2018)082
oai:repo.scoap3.org:21782,2019-08-01T09:47:42Z,DOI10.1007/JHEP10(2017)011,10.1007/jhep10(2017)011
oai:repo.scoap3.org:24807,2019-08-01T09:35:55Z,DOI10.1007/JHEP04(2018)018,10.1007/jhep04(2018)018
oai:repo.scoap3.org:22782,2019-08-01T09:47:45Z,DOI10.1007/JHEP12(2017)070,10.1007/jhep12(2017)070
oai:repo.scoap3.org:22783,2019-08-01T09:45:29Z,DOI10.1007/JHEP12(2017)075,10.1007/jhep12(2017)075
oai:repo.scoap3.org:18524,2019-08-01T09:39:16Z,DOI10.1007/JHEP01(2017)020,10.1007/jhep01(2017)020
oai:repo.scoap3.org:20969,2019-08-01T09:36:45Z,DOI10.1007/JHEP08(2017)012,10.1007/jhep08(2017)012
oai:repo.scoap3.org:20962,2019-08-01T09:56:49Z,DOI10.1007/JHEP08(2017)009,10.1007/jhep08(2017)009
oai:repo.scoap3.org:20564,2019-08-01T09:35:48Z,DOI10.1007/JHEP06(2017)096,10.1007/jhep06(2017)096
oai:repo.scoap3.org:14396,2019-08-01T09:45:16Z,DOI10.1007/JHEP02(2016)117,10.1007/jhep02(2016)117
oai:repo.scoap3.org:20646,2019-08-01T09:45:02Z,DOI10.1007/JHEP06(2017)143,10.1007/jhep06(2017)143
oai:repo.scoap3.org:20643,2019-08-01T09:53:53Z,DOI10.1007/JHEP06(2017)132,10.1007/jhep06(2017)132
oai:repo.scoap3.org:20642,2019-08-01T09:38:26Z,DOI10.1007/JHEP06(2017)131,10.1007/jhep06(2017)131
oai:repo.scoap3.org:20482,2019-08-01T09:53:51Z,DOI10.1007/JHEP06(2017)057,10.1007/jhep06(2017)057
oai:repo.scoap3.org:17604,2019-08-01T09:48:22Z,DOI10.1007/JHEP10(2016)111,10.1007/jhep10(2016)111
oai:repo.scoap3.org:15602,2019-08-01T09:58:24Z,DOI10.1007/JHEP05(2016)072,10.1007/jhep05(2016)072
oai:repo.scoap3.org:15601,2019-08-01T09:50:37Z,DOI10.1007/JHEP05(2016)071,10.1007/jhep05(2016)071
oai:repo.scoap3.org:19803,2019-08-01T09:41:17Z,DOI10.1007/JHEP04(2017)109,10.1007/jhep04(2017)109
oai:repo.scoap3.org:24935,2019-08-01T09:58:14Z,DOI10.1007/JHEP04(2018)069,10.1007/jhep04(2018)069
oai:repo.scoap3.org:18990,2019-08-01T09:55:03Z,DOI10.1007/JHEP02(2017)067,10.1007/jhep02(2017)067
oai:repo.scoap3.org:19103,2019-08-01T09:55:03Z,DOI10.1007/JHEP02(2017)105,10.1007/jhep02(2017)105
oai:repo.scoap3.org:21413,2019-08-01T09:43:17Z,DOI10.1007/JHEP04(2017)032,10.1007/jhep04(2017)032
oai:repo.scoap3.org:15041,2019-08-01T09:35:52Z,DOI10.1007/JHEP04(2016)006,10.1007/jhep04(2016)006
oai:repo.scoap3.org:24613,2019-08-01T09:35:33Z,DOI10.1007/JHEP03(2018)140,10.1007/jhep03(2018)140
oai:repo.scoap3.org:18290,2019-08-01T09:52:07Z,DOI10.1007/JHEP12(2016)051,10.1007/jhep12(2016)051
oai:repo.scoap3.org:18295,2019-08-01T09:54:34Z,DOI10.1007/JHEP12(2016)056,10.1007/jhep12(2016)056
oai:repo.scoap3.org:19104,2019-08-01T09:58:56Z,DOI10.1007/JHEP02(2017)107,10.1007/jhep02(2017)107
oai:repo.scoap3.org:19105,2019-08-01T09:42:11Z,DOI10.1007/JHEP02(2017)108,10.1007/jhep02(2017)108
oai:repo.scoap3.org:18459,2019-08-01T09:37:58Z,DOI10.1007/JHEP12(2016)139,10.1007/jhep12(2016)139
oai:repo.scoap3.org:18671,2019-08-01T09:45:59Z,DOI10.1007/JHEP01(2017)085,10.1007/jhep01(2017)085
oai:repo.scoap3.org:16700,2019-08-01T09:48:22Z,DOI10.1007/JHEP08(2016)029,10.1007/jhep08(2016)029
oai:repo.scoap3.org:16709,2019-08-01T09:43:38Z,DOI10.1007/JHEP08(2016)046,10.1007/jhep08(2016)046
oai:repo.scoap3.org:22341,2019-08-01T09:55:39Z,DOI10.1007/JHEP11(2017)077,10.1007/jhep11(2017)077
oai:repo.scoap3.org:22342,2019-08-01T09:45:43Z,DOI10.1007/JHEP11(2017)081,10.1007/jhep11(2017)081
oai:repo.scoap3.org:22348,2019-08-01T09:48:05Z,DOI10.1007/JHEP11(2017)097,10.1007/jhep11(2017)097
oai:repo.scoap3.org:19075,2019-08-01T09:47:16Z,DOI10.1007/JHEP02(2017)094,10.1007/jhep02(2017)094
oai:repo.scoap3.org:19076,2019-08-01T09:55:00Z,DOI10.1007/JHEP02(2017)095,10.1007/jhep02(2017)095
oai:repo.scoap3.org:19077,2019-08-01T09:40:13Z,DOI10.1007/JHEP02(2017)097,10.1007/jhep02(2017)097
oai:repo.scoap3.org:20455,2019-08-01T09:45:56Z,DOI10.1007/JHEP06(2017)059,10.1007/jhep06(2017)059
oai:repo.scoap3.org:20458,2019-08-01T09:36:58Z,DOI10.1007/JHEP06(2017)064,10.1007/jhep06(2017)064
oai:repo.scoap3.org:16141,2019-08-01T09:45:04Z,DOI10.1007/JHEP06(2016)133,10.1007/jhep06(2016)133
oai:repo.scoap3.org:16414,2019-08-01T09:36:39Z,DOI10.1007/JHEP07(2016)064,10.1007/jhep07(2016)064
oai:repo.scoap3.org:22233,2019-08-01T09:50:25Z,DOI10.1007/JHEP11(2017)048,10.1007/jhep11(2017)048
oai:repo.scoap3.org:22235,2019-08-01T09:54:05Z,DOI10.1007/JHEP11(2017)053,10.1007/jhep11(2017)053
oai:repo.scoap3.org:17388,2019-08-01T09:44:24Z,DOI10.1007/JHEP10(2016)004,10.1007/jhep10(2016)004
oai:repo.scoap3.org:16890,2019-08-01T09:52:10Z,DOI10.1007/JHEP08(2016)121,10.1007/jhep08(2016)121
oai:repo.scoap3.org:17387,2019-08-01T09:53:10Z,DOI10.1007/JHEP10(2016)003,10.1007/jhep10(2016)003
oai:repo.scoap3.org:17382,2019-08-01T09:37:16Z,DOI10.1007/JHEP09(2016)175,10.1007/jhep09(2016)175
oai:repo.scoap3.org:18523,2019-08-01T09:53:43Z,DOI10.1007/JHEP01(2017)018,10.1007/jhep01(2017)018
oai:repo.scoap3.org:23493,2019-08-01T09:39:20Z,DOI10.1007/JHEP02(2018)008,10.1007/jhep02(2018)008
oai:repo.scoap3.org:24800,2019-08-01T09:55:19Z,DOI10.1007/JHEP04(2018)008,10.1007/jhep04(2018)008
oai:repo.scoap3.org:18418,2019-08-01T09:54:17Z,DOI10.1007/JHEP12(2016)127,10.1007/jhep12(2016)127
oai:repo.scoap3.org:22542,2019-08-01T09:51:43Z,DOI10.1007/JHEP11(2017)196,10.1007/jhep11(2017)196
oai:repo.scoap3.org:21994,2019-08-01T09:54:23Z,DOI10.1007/JHEP10(2017)125,10.1007/jhep10(2017)125
oai:repo.scoap3.org:20926,2019-08-01T09:53:39Z,DOI10.1007/JHEP07(2017)132,10.1007/jhep07(2017)132
oai:repo.scoap3.org:21941,2019-08-01T09:49:59Z,DOI10.1007/JHEP10(2017)106,10.1007/jhep10(2017)106
oai:repo.scoap3.org:23094,2019-08-01T09:51:22Z,DOI10.1007/JHEP01(2018)053,10.1007/jhep01(2018)053
oai:repo.scoap3.org:16108,2019-08-01T09:55:31Z,DOI10.1007/JHEP06(2016)114,10.1007/jhep06(2016)114
oai:repo.scoap3.org:16450,2019-08-01T09:55:31Z,DOI10.1007/JHEP07(2016)077,10.1007/jhep07(2016)077
oai:repo.scoap3.org:16078,2019-08-01T09:39:06Z,DOI10.1007/JHEP06(2016)101,10.1007/jhep06(2016)101
oai:repo.scoap3.org:23169,2019-08-01T09:44:57Z,DOI10.1007/JHEP01(2018)083,10.1007/jhep01(2018)083
oai:repo.scoap3.org:19325,2019-08-01T09:54:23Z,DOI10.1007/JHEP03(2017)064,10.1007/jhep03(2017)064
oai:repo.scoap3.org:17859,2019-08-01T09:47:42Z,DOI10.1007/JHEP11(2016)067,10.1007/jhep11(2016)067
oai:repo.scoap3.org:15828,2019-08-01T09:42:50Z,DOI10.1007/JHEP05(2016)184,10.1007/jhep05(2016)184
oai:repo.scoap3.org:13774,2019-08-01T09:54:23Z,DOI10.1007/JHEP02(2016)026,10.1007/jhep02(2016)026
oai:repo.scoap3.org:16290,2019-08-01T09:51:46Z,DOI10.1007/JHEP07(2016)013,10.1007/jhep07(2016)013
oai:repo.scoap3.org:21891,2019-08-01T09:42:50Z,DOI10.1007/JHEP10(2017)072,10.1007/jhep10(2017)072
oai:repo.scoap3.org:18894,2019-08-01T09:54:42Z,DOI10.1007/JHEP02(2017)026,10.1007/jhep02(2017)026
oai:repo.scoap3.org:22767,2019-08-01T09:48:05Z,DOI10.1007/JHEP12(2017)071,10.1007/jhep12(2017)071
oai:repo.scoap3.org:22160,2019-08-01T09:45:07Z,DOI10.1007/JHEP11(2017)001,10.1007/jhep11(2017)001
oai:repo.scoap3.org:22490,2019-08-01T09:52:54Z,DOI10.1007/JHEP11(2017)167,10.1007/jhep11(2017)167
